"Name", "Population"
Nauru, 11,832
Wallis and Futuna, 11,369
Tuvalu, 10,679
Saint Barthélemy, 10,289
Saint Helena, Ascension and Tristan da Cunha, 6,000
Saint Pierre and Miquelon, 5,974
Montserrat, 5,000
Falkland Islands, 4,000
Christmas Island, 1,966
Norfolk Island, 1,734
Niue, 1,549
Tokelau, 1,501
Vatican City, 825
Cocos (Keeling) Islands, 573
Pitcairn Islands, 40
